Sim ID,Sample,Agent ID,Strategy,Wins,Losses,Pushes,Total Profit,Avg Profit/Round,Final Bankroll
0,2000,1,unskilled,843,1003,175,-3615.00,-1.81,6385.00
0,2000,2,basic,890,978,167,60.00,0.03,10060.00
0,2000,3,counting,906,977,170,-1320.00,-0.66,8680.00
1,2000,4,unskilled,826,1001,199,-3780.00,-1.89,6220.00
1,2000,5,basic,926,949,181,1800.00,0.90,11800.00
1,2000,6,counting,869,1022,164,-3735.00,-1.87,6265.00
2,2000,7,unskilled,818,990,218,-3720.00,-1.86,6280.00
2,2000,8,basic,874,973,198,-1185.00,-0.59,8815.00
2,2000,9,counting,917,988,154,-1185.00,-0.59,8815.00
3,2000,10,unskilled,866,966,196,-1335.00,-0.67,8665.00
3,2000,11,basic,914,984,165,135.00,0.07,10135.00
3,2000,12,counting,897,945,191,-270.00,-0.14,9730.00
4,2000,13,unskilled,854,972,200,-2145.00,-1.07,7855.00
4,2000,14,basic,889,966,180,-165.00,-0.08,9835.00
4,2000,15,counting,884,984,184,3120.00,1.56,13120.00
5,2000,16,unskilled,872,980,177,-1830.00,-0.92,8170.00
5,2000,17,basic,925,924,200,2940.00,1.47,12940.00
5,2000,18,counting,896,968,186,-945.00,-0.47,9055.00
6,2000,19,unskilled,864,959,195,-1125.00,-0.56,8875.00
6,2000,20,basic,909,969,183,60.00,0.03,10060.00
6,2000,21,counting,896,973,175,3045.00,1.52,13045.00
7,2000,22,unskilled,818,1009,198,-4215.00,-2.11,5785.00
7,2000,23,basic,897,973,169,555.00,0.28,10555.00
7,2000,24,counting,902,965,177,2985.00,1.49,12985.00
8,2000,25,unskilled,795,1048,169,-6165.00,-3.08,3835.00
8,2000,26,basic,885,992,178,-675.00,-0.34,9325.00
8,2000,27,counting,808,1009,170,-10000.00,-5.17,0.00
9,2000,28,unskilled,874,956,199,-780.00,-0.39,9220.00
9,2000,29,basic,927,961,159,1590.00,0.80,11590.00
9,2000,30,counting,911,965,176,6105.00,3.05,16105.00
10,2000,31,unskilled,877,957,202,-810.00,-0.41,9190.00
10,2000,32,basic,892,968,190,-75.00,-0.04,9925.00
10,2000,33,counting,925,961,172,-3720.00,-1.86,6280.00
11,2000,34,unskilled,818,1004,212,-4170.00,-2.08,5830.00
11,2000,35,basic,851,995,205,-2100.00,-1.05,7900.00
11,2000,36,counting,892,996,176,-2130.00,-1.06,7870.00
12,2000,37,unskilled,858,982,187,-2175.00,-1.09,7825.00
12,2000,38,basic,890,979,196,-795.00,-0.40,9205.00
12,2000,39,counting,905,1002,159,1740.00,0.87,11740.00
13,2000,40,unskilled,816,1019,202,-4605.00,-2.30,5395.00
13,2000,41,basic,870,996,189,-1560.00,-0.78,8440.00
13,2000,42,counting,910,971,176,270.00,0.14,10270.00
14,2000,43,unskilled,850,985,185,-2730.00,-1.36,7270.00
14,2000,44,basic,900,979,165,495.00,0.25,10495.00
14,2000,45,counting,893,973,191,3645.00,1.82,13645.00
15,2000,46,unskilled,872,959,196,-1230.00,-0.61,8770.00
15,2000,47,basic,932,931,179,2505.00,1.25,12505.00
15,2000,48,counting,939,954,172,-1770.00,-0.89,8230.00
16,2000,49,unskilled,832,983,207,-2910.00,-1.46,7090.00
16,2000,50,basic,892,970,182,-165.00,-0.08,9835.00
16,2000,51,counting,893,970,174,3870.00,1.94,13870.00
17,2000,52,unskilled,819,1006,198,-4125.00,-2.06,5875.00
17,2000,53,basic,872,988,192,-1875.00,-0.94,8125.00
17,2000,54,counting,877,993,178,-2130.00,-1.06,7870.00
18,2000,55,unskilled,822,982,228,-3420.00,-1.71,6580.00
18,2000,56,basic,917,941,175,2235.00,1.12,12235.00
18,2000,57,counting,896,976,186,3345.00,1.67,13345.00
19,2000,58,unskilled,826,999,205,-3840.00,-1.92,6160.00
19,2000,59,basic,850,1010,186,-2490.00,-1.25,7510.00
19,2000,60,counting,861,1019,173,-3510.00,-1.75,6490.00
20,2000,61,unskilled,848,967,211,-2070.00,-1.03,7930.00
20,2000,62,basic,912,976,168,945.00,0.47,10945.00
